Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (kgf·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
1.5739900000002236,,,,,-0.0625,0.044921875,-0.96875,0.0002639547915111845,-0.02935950798285395,16.632001876831055,-0.0002582465298473835,0,0,0,0,0,0,0,0.05859375,,
1.5999850000003353,,,,,-0.0625,0.044921875,-0.970703125,0.00025001510745083374,-0.02933127008420542,16.634859085083008,0.0007183159701526165,0,0,0.011949084942053467,0,0,0,0,0.05859375,,
1.621859999999404,,,,,-0.0625,0.04296875,-0.970703125,0.00026132076532697985,-0.02927140573907052,16.63250160217285,0.005601128470152617,0,0,0.09316077825378938,0,0,0,0,0.05859375,,
1.6496299999998882,,,,,-0.0625,0.046875,-0.970703125,0.00026752953993806395,-0.029269146707178638,16.631500244140625,0.0031597222201526164,0,0,0.052550920875884796,0,0,0,0,0.05859375,,
1.6717949999999255,,,,,-0.0625,0.044921875,-0.970703125,0.0002632936960078024,-0.029305291217448765,16.63333511352539,-0.0014518230222165585,0,0,0.024148658854059236,0,0,0,0,0.05859375,,
1.6994399999994785,,,,,-0.0625,0.046875,-0.970703125,0.00025043045563106613,-0.029545878113934276,16.632572174072266,-0.007652219478040933,0,0,0.12727609276035742,0,0,0,0,0.05859375,,
1.723320000000298,,,,,-0.0625,0.044921875,-0.96875,0.00025316263306976916,-0.02965770019258247,16.632801055908203,0.0007183159701526165,0,0,0.011947606626830165,0,0,0,0,0.05859375,,
1.7496150000002235,,,,,-0.0625,0.046875,-0.970703125,0.00025697196899751004,-0.029513122151501973,16.632001876831055,0.0007183159701526165,0,0,0.011947032563736039,0,0,0,0,0.05859375,,
1.7719350000005216,,,,,-0.0625,0.044921875,-0.96875,0.00025713976601720836,-0.029223966069340985,16.63300132751465,-0.0005023871548473835,0,0,0,0,0,0,0,0.05859375,,
1.8016849999995903,1000,,,,-0.0625,0.046875,-0.970703125,0.00026222678248261435,-0.029408077168529428,16.633501052856445,-0.0005023871548473835,0,0,0,0,0,0,0,0.05859375,,
1.823125,1000,,,,-0.0625,0.044921875,-0.970703125,0.00026617592878757143,-0.029752579532041544,16.632402420043945,-0.0002582465298473835,0,0,0,0,0,0,0,0.05859375,,
1.8546049999995158,1000,,,,-0.0625,0.04296875,-0.96875,0.0002572159936387524,-0.029620426166366405,16.63142967224121,0.003508494608104229,0,0,0.05835128133012297,0,0,0,0,0.05859375,,
1.878464999999851,1000,,,,-0.0625,0.046875,-0.96875,0.0002714796604718524,-0.029544748597988335,16.632801055908203,0.0016948784701526164,0,0,0.02819057640799052,0,0,0,0,0.05859375,,
1.9001349999997765,1000,,,,-0.0625,0.044921875,-0.96875,0.00026297413676535487,-0.029090683187719908,16.63300132751465,0.009263237845152617,0,0,0.1540754473755074,0,0,0,0,0.05859375,,
1.9219950000001118,1000,,,,-0.0625,0.044921875,-0.966796875,0.00025912499206130323,-0.028848966775288455,16.632001876831055,-0.0006767733488231897,0,0,0.011256095607816529,0,0,0,0,0.05859375,,
1.9491499999994413,1000,,,,-0.0625,0.046875,-0.970703125,0.0002546867757360071,-0.029516510699339797,16.63371467590332,-0.0006767733488231897,0,0,0.011257254784580529,0,0,0,0,0.05859375,,
1.9717050000000744,1000,,,,-0.0625,0.046875,-0.970703125,0.0002595042580375319,-0.02960800149096105,16.632001876831055,-0.0025368922855705024,0,0,0.04219359725492682,0,0,0,0,0.05859375,,
1.9992749999994412,1000,,,,-0.0625,0.046875,-0.970703125,0.00026154719290986814,-0.029191210106908682,16.633501052856445,0.009263237845152617,0,0,0.15408007645020572,0,0,0,0,0.05859375,,
2.0230349999992177,1000,,,,-0.0625,0.046875,-0.970703125,0.000264254353793256,-0.02926047767229354,16.631999969482422,0.001803385466337204,0,0,0.02999390702108542,0,0,0,0,0.05859375,,
2.0510449999999256,1000,,,,-0.0625,0.046875,-0.966796875,0.0002548196389540557,-0.029037595938260656,16.632001876831055,-0.005385199654847383,0,0,0.08956665076653163,0,0,0,0,0.05859375,,
